step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,324,4,0.5446754124065434,0.0,0.6949152542372882
2,936,8,0.26245925371523704,0.0,0.776
3,1132,12,0.24742832242724644,0.25,0.85
4,1392,16,0.4622121375063671,0.25,0.6153846153846154
5,1652,20,0.40505547949145465,0.0,0.734375
6,1944,24,0.3180457322894098,0.0,0.8589743589743589
7,2204,28,0.32647079572899573,0.25,0.8354430379746836
8,3072,32,0.09518977016437061,0.75,0.9327731092436975
9,3268,36,0.1813141360862549,0.0,0.9272727272727272
10,3496,40,0.17213190643088946,0.0,0.8787878787878788
11,3692,44,0.17596975742375587,0.5,0.9642857142857143
12,3984,48,0.37156966554093546,0.75,0.9272727272727272
13,4276,52,0.24512480643594406,0.25,0.9130434782608695
14,4632,56,0.13177455462693385,0.75,0.9473684210526315
15,4956,60,0.15247877671875815,0.25,0.8947368421052632
16,5216,64,0.21839493568776047,0.25,0.9183673469387755
17,5508,68,0.1904557929057745,0.25,0.9318181818181818
18,5896,72,0.20220000526020457,0.5,0.9158878504672897
19,6156,76,0.17406688101814788,0.25,0.9047619047619048
20,6640,80,0.1239710745079905,0.25,0.9411764705882353
21,6868,84,0.159874663785357,0.5,0.925
22,7224,88,0.2309791944118801,0.0,0.9186046511627907
23,7580,92,0.2595962692760891,0.25,0.8636363636363636
24,7840,96,0.18006573145096355,0.25,0.8571428571428571
25,8164,100,0.15831417102408524,0.25,0.927536231884058
26,8520,104,0.18193922413584832,0.5,0.9444444444444444
27,8748,108,0.20493086346302464,0.25,0.88
28,8976,112,0.15099516502805596,1.0,1.0
29,9268,116,0.18065194136899954,0.75,0.9423076923076923
30,9528,120,0.18172050193961697,0.75,0.8918918918918919
31,9916,124,0.11555369822472888,0.5,0.9381443298969072
32,10208,128,0.15607869989156217,0.75,0.95
33,10628,132,0.1943397935950928,0.5,0.8953488372093024
34,11016,136,0.13656750567034806,0.25,0.896551724137931
35,11244,140,0.13388478790336322,1.0,1.0
36,11472,144,0.17954943945934634,0.75,0.9615384615384616
37,11668,148,0.164257880481955,0.75,0.9642857142857143
38,12152,152,0.11850496775004254,0.75,0.946236559139785
39,12508,156,0.15737517252829836,0.5,0.9117647058823529
40,12768,160,0.19007878144839763,0.25,0.9107142857142857
41,13028,164,0.13620326226182938,0.5,0.9512195121951219
42,13320,168,0.18355725422851366,0.5,0.9375
43,13580,172,0.2082338235780014,0.5,0.9
44,13840,176,0.13509445511306523,1.0,1.0
45,14196,180,0.12118871886819886,1.0,1.0
46,15000,184,0.11270427126713434,0.25,0.9069767441860465
47,15164,188,0.22923890217808776,0.75,0.9629629629629629
48,15424,192,0.08494307534670043,1.0,1.0
49,15684,196,0.1035897502468629,1.0,1.0
50,15880,200,0.08381015577656399,1.0,1.0
51,16236,204,0.08005340485810226,0.75,0.9705882352941176
52,16560,208,0.06877757702718441,1.0,1.0
53,16820,212,0.07745152566880763,1.0,1.0
54,17080,216,0.06465164857489399,1.0,1.0
55,17340,220,0.07275861451139462,1.0,1.0
56,17696,224,0.0807665825893241,0.75,0.9767441860465116
57,18084,228,0.09009293746988845,0.75,0.9852941176470589
58,18568,232,0.044967862143520936,0.75,0.9811320754716981
59,18796,236,0.07046116059179489,1.0,1.0
60,19056,240,0.08374741293830308,0.75,0.9850746268656716
61,19924,244,0.07469129068139874,0.5,0.9591836734693877
62,20120,248,0.09696270560386562,1.0,1.0
63,20348,252,0.0879063597341181,1.0,1.0
64,20640,256,0.08668544091118567,1.0,1.0
65,21060,260,0.09377555849799904,0.75,0.9565217391304348
66,21864,264,0.12114216393936982,0.5,0.9488636363636364
67,22476,268,0.04933375562164173,0.5,0.9793103448275862
68,22736,272,0.08899842519438238,0.75,0.9696969696969697
69,22964,276,0.09883557534547097,1.0,1.0
70,23256,280,0.09295823372975244,1.0,1.0
71,23548,284,0.08396972752973969,1.0,1.0
72,23808,288,0.057542146348247156,1.0,1.0
73,24004,292,0.09504294718339837,1.0,1.0
74,24264,296,0.07083671585854408,0.75,0.9787234042553191
75,24524,300,0.07367141826814737,0.75,0.9878048780487805
76,25008,304,0.07229197497566342,0.5,0.970873786407767
77,25300,308,0.06348507901225608,1.0,1.0
78,25688,312,0.05761732219102356,0.75,0.9915254237288136
79,25948,316,0.10293769730497977,0.5,0.9423076923076923
80,26240,320,0.06226941278184926,1.0,1.0
81,26404,324,0.11076969362806957,0.75,0.975
82,26664,328,0.07980026687326164,0.75,0.9487179487179487
83,26988,332,0.04565681129670118,1.0,1.0
84,27184,336,0.06808225824683044,1.0,1.0
85,27380,340,0.16809263038773536,0.75,0.9642857142857143
86,27768,344,0.11512849295629242,0.5,0.9361702127659575
87,28028,348,0.15555592457067907,0.75,0.8974358974358975
88,28256,352,0.07583291465069807,0.5,0.9354838709677419
89,28548,356,0.10593723316907411,0.75,0.95
90,28904,360,0.08123150120881362,0.25,0.9504950495049505
91,29164,364,0.1185876777322433,0.25,0.921875
92,29456,368,0.09344910387296576,0.5,0.95
93,29652,372,0.056432224138042275,1.0,1.0
94,29912,376,0.051968283292961104,0.75,0.9615384615384616
95,30172,380,0.02289129947594812,1.0,1.0
96,30528,384,0.032801408993310716,1.0,1.0
97,30820,388,0.04513882811374654,1.0,1.0
98,31208,392,0.06113178064383149,0.75,0.9736842105263158
99,31628,396,0.04515747849376951,0.75,0.9882352941176471
100,31920,400,0.047805220924669496,1.0,1.0
101,32244,404,0.029280498119253484,1.0,1.0
102,32504,408,0.05889748785910527,0.75,0.9761904761904762
103,32732,412,0.031482234278627175,1.0,1.0
104,33120,416,0.05172127537223166,0.75,0.974025974025974
105,33348,420,0.048527611881862144,1.0,1.0
106,33544,424,0.07050892123443522,1.0,1.0
107,33804,428,0.045125675950156464,1.0,1.0
108,34096,432,0.03090386544461433,0.75,0.98989898989899
109,34388,436,0.05743896522333958,1.0,1.0
110,34616,440,0.057421209212273935,1.0,1.0
111,34876,444,0.03600628696287593,1.0,1.0
112,35168,448,0.03715075117069185,0.75,0.9811320754716981
113,35332,452,0.038096909639522426,1.0,1.0
114,35656,456,0.018953332550143753,1.0,1.0
115,36140,460,0.03863012248555393,0.75,0.9917355371900827
116,36400,464,0.03919844134659632,1.0,1.0
117,36660,468,0.04023172204725904,0.75,0.9629629629629629
118,36920,472,0.0310512852691772,1.0,1.0
119,37180,476,0.049671873368761194,1.0,1.0
120,37568,480,0.03226022237740279,1.0,1.0
121,37796,484,0.0373481872357321,1.0,1.0
