prompt,completion
" Lateral epicondylitis is the most common cause of lateral elbow pain. 

###

"," 
Lateral epicondylitis | causes | elbow pain
#####"
" This article reviews the pathophysiological factors involved in lateral epicondylitis, as well as the tools available for establishing the diagnosis and ruling out other causes of lateral elbow pain. 

###

"," 

#####"
" Data for the causes of maternal deaths are needed to inform policies to improve maternal health. 

###

"," 

#####"
" From the most recent data the magnitude of visual impairment and its causes in 2010 have been estimated, globally and by WHO region. 

###

"," 

#####"
" Contemporary data for causes of vision impairment and blindness form an important basis of recommendations in public health policies. 

###

"," 

#####"
" Sepsis is a leading cause of death in medical and surgical intensive care units (ICUs). 

###

"," 
Sepsis | causes | death
#####"
" Sepsis-associated encephalopathy (SAE) is the most frequent type of encephalopathy in the ICU and is defined as a state of diffuse cerebral dysfunction caused by the inflammatory response of the body to various infections, where the inflammatory process does not affect the central nervous system (CNS) directly and the primary symptom is a disturbed level of consciousness. 

###

"," 
inflammatory response | causes | encephalopathy
#####"
" Many causes of vision impairment can be prevented or treated. 

###

"," 

#####"
" We estimated the prevalence and relative contribution of avoidable causes of blindness and vision impairment globally from 1990 to 2020. 

###

"," 

#####"
" Meta-analyses were conducted to determine the frequency (percentages) of seven bacterial types known to cause meningitis: Escherichia coli, Haemophilus influenzae, Neisseria meningitidis, Streptococcus pneumoniae, group B Streptococcus agalactiae, Staphylococcus aureus, and Listeria monocytogenes, with results being stratified by six geographical regions as determined by the World Health Organization, and seven age groups. 

###

"," 
Escherichia coli | causes | meningitis
Haemophilus influenzae | causes | meningitis
Neisseria meningitidis | causes | meningitis
Streptococcus pneumoniae group B | causes | meningitis
Streptococcus agalactiae | causes | meningitis
Staphylococcus aureus | causes | meningitis
Listeria monocytogenes | causes | meningitis
#####"
" A clear difference in the weighted frequency of bacterial meningitis cases caused by the different etiological agents was observed between age groups and between geographic regions. 

###

"," 

#####"
" Systematic review was performed to locate articles reporting the definition, rate and/or cause of weight regain in patients at least 2 years post-SG. 

###

"," 

#####"
" Proposed causes of weight regain included initial sleeve size, sleeve dilation, increased ghrelin levels, inadequate follow-up support and maladaptive lifestyle behaviours. 

###

"," 

#####"
" Traumatic spinal injury (TSI) results from injury to bony, ligamentous, and/or neurologic structures of the spinal column and can cause significant morbidity and mortality. 

###

"," 
Traumatic spinal injury (TSI) | causes | morbidity
Traumatic spinal injury (TSI) | causes | mortality
#####"
" Stenotrophomonas maltophilia can cause serious infections in immunocompromised patients. 

###

"," 
Stenotrophomonas maltophilia | causes | infections
#####"
"The aim of this systematic review was to establish what invasive infections in humans are caused by S. 

###

"," 

#####"
" maltophilia may cause invasive infections of various tissues in hospitalized patients. 

###

"," 
maltophilia | causes | infections
#####"
" Varicella-zoster virus (VZV) is a teratogen that can cross the placenta and cause the congenital varicella syndrome (CVS), which is characterised by multi-system anomalies. 

###

"," 
Varicella-zoster virus (VZV) | causes | congenital varicella syndrome (CVS)
#####"
" Herpes zoster caused CVS in two cases. 

###

"," 
Herpes zoster | causes | CVS
#####"
" The Global Burden of Disease Study 2010 (GBD 2010) documented that ischemic heart disease and stroke collectively caused 1 in 4 deaths worldwide. 

###

"," 
ischemic heart disease | causes | death
stroke | causes | death
#####"
" Worldwide, nutritional rickets continues to be an evolving problem with several causes. 

###

"," 

#####"
" For each region, key information was extracted, including prevalence, cause of rickets specific to the region, methods of confirming the diagnosis and current treatment and preventive measures. 

###

"," 

#####"
"Calcium deficiency continues to be a major cause of rickets in Africa and Asia. 

###

"," 
Calcium deficiency | causes | rickets
#####"
" More careful diagnosis of rickets and reporting of 25-OHD concentrations has improved accurate knowledge of rickets prevalence and better delineated the cause. 

###

"," 

#####"
" An unprecedented outbreak of pneumonia caused by a novel coronavirus (CoV), subsequently termed COVID-19 by the World Health Organization, emerged in Wuhan City (China) in December 2019. 

###

"," 
COVID-19 | causes | pneumonia
#####"
"Despite rigorous containment and quarantine efforts, the incidence of COVID-19 continues to expand, causing explosive outbreaks in more than 160 countries with waves of morbidity and fatality, leading to significant public health problems. 

###

"," 

#####"
"In the past 20 years, two additional epidemics caused by CoVs have occurred: severe acute respiratory syndrome-CoV, which has caused a large-scale epidemic in China and 24 other countries; and respiratory syndrome-CoV of the Middle East in Saudi Arabia, which continues to cause sporadic cases. 

###

"," 
CoVs | causes | epidemics
severe acute respiratory syndrome-CoV | causes | epidemic
#####"
" The literature contains no systematic review that explores alternative causes of a lipase level over three times as high as the ULN. 

###

"," 

#####"
" Mycobacterium tuberculosis is recognised as the primary cause of human tuberculosis worldwide. 

###

"," 
Mycobacterium tuberculosis | causes | tuberculosis
#####"
"However, substantial evidence suggests that the burden of Mycobacterium bovis, the cause of bovine tuberculosis, might be underestimated in human beings as the cause of zoonotic tuberculosis. 

###

"," 
Mycobacterium bovis | causes | bovine tuberculosis
Mycobacterium bovis | causes | zoonotic tuberculosis
#####"
" In 2013, results from a systematic review and meta-analysis of global zoonotic tuberculosis showed that the same challenges and concerns expressed 15 years ago remain valid. 

###

"," 

#####"
" Psittacosis is a zoonotic infectious disease caused by the transmission of the bacterium Chlamydia psittaci from birds to humans. 

###

"," 
Chlamydia psittaci | causes | Psittacosis
#####"
" psittaci infection as a cause of CAP is therefore unclear. 

###

"," 

#####"
"In this meta-analysis of published CAP-aetiological studies, we estimate the proportion of CAP caused by C. 

###

"," 
C | causes | CAP
#####"
" psittaci was the causative pathogen in 1·03% (95% CI 0·79-1·30) of all CAP cases from the included studies combined, with a range between studies from 0 to 6·7%. 

###

"," 
psittaci | causes | CAP
#####"
" 2,4-Dinitrophenol (DNP) is reported to cause rapid loss of weight, but unfortunately is associated with an unacceptably high rate of significant adverse effects. 

###

"," 
2 |4-Dinitrophenol (DNP) | causes | loss of weight
#####"
" It causes uncoupling of oxidative phosphorylation; the classic symptom complex associated with toxicity of phenol-based products such as DNP is a combination of hyperthermia, tachycardia, diaphoresis and tachypnoea, eventually leading to death. 

###

"," 

#####"
" Infective endocarditis (IE) incidence remains high with considerable fatality rates; guidelines for prophylaxis against IE are currently under review in some settings which highlights the importance of maintaining up-to-date epidemiological estimates about the most common microbial causes. 

###

"," 
microbes | causes | Infective endocarditis
#####"
"The objective of this systematic review, following PRISMA guidelines, was to identify the most common microbial causes of IE in recent years. 

###

"," 
microbes | causes | IE
#####"
" Viridans group streptococci (VGS), coagulase-negative staphylococci (CoNS), Enterococcus spp and Streptococcus bovis were among the most common causes. 

###

"," 

#####"
" This review provides an evidence-based map of the most common causative agents of IE, highlighting S. 

###

"," 

#####"
"aureus as the leading cause in the 21st century. 

###

"," 

#####"
" All relevant studies reporting diagnostic results were included. 

###

"," 

#####"
" Dry mouth (xerostomia), is a fairly common, well-researched condition, which is an indirect cause of oral malodour. 

###

"," 
Dry mouth (xerostomia) | causes | oral malodour
#####"
