step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,648,8,0.7997848141411874,0.0,0.5433070866141733,0.4304927885591414,0.0,0.6434108527131783
2,1680,16,0.2118375130397581,0.0,0.6395348837209303,,,
3,2456,24,0.3727327894726234,0.0,0.5904761904761905,,,
4,3488,32,0.2202202637060736,0.0,0.795774647887324,0.2207051098373859,0.75,0.8783783783783784
5,4712,40,0.1822332409592562,0.125,0.8478260869565217,,,
6,5424,48,0.1866626636082163,0.0,0.7872340425531915,,,
7,6072,56,0.181292828513034,0.375,0.934959349593496,0.2731390028389057,0.5,0.813953488372093
8,6720,64,0.1684360323225303,0.375,0.8888888888888888,,,
9,7432,72,0.1860966640314628,0.5,0.8775510204081632,,,
10,8400,80,0.1618283684514927,0.375,0.9333333333333332,0.1935931591253393,0.25,0.8932038834951457
11,8856,88,0.1959132233037735,0.625,0.9516129032258064,,,
12,9376,96,0.2281069613604699,0.375,0.8703703703703703,,,
13,9768,104,0.1791884487602071,0.5,0.9152542372881356,,,
14,10480,112,0.1531397740509184,0.5,0.951219512195122,0.1687674697257438,0.625,0.8823529411764706
15,11064,120,0.239143046277464,0.5,0.9008264462809916,,,
16,11712,128,0.1798990188427421,0.5,0.8734177215189873,,,
17,12424,136,0.1726701681541664,0.375,0.896,0.1054597116241371,0.375,0.91005291005291
18,14224,144,0.0618493693584088,0.25,0.9484536082474226,,,
19,15000,152,0.1809233384299043,0.25,0.9052631578947368,0.1693463900555762,0.5,0.925925925925926
20,15712,160,0.1201903611228483,0.375,0.935483870967742,,,
21,16552,168,0.120098420857627,0.5,0.9310344827586208,,,
22,17392,176,0.1171649246411929,0.375,0.9,0.1586408955957367,0.375,0.8714285714285714
23,17976,184,0.1615440986151437,0.5,0.9047619047619048,,,
24,18624,192,0.1528780802582607,0.25,0.9019607843137256,,,
25,20296,200,0.079498677924082,0.125,0.9403508771929824,0.1151928531970417,0.25,0.9140271493212668
26,20944,208,0.1209541052677184,0.75,0.9620253164556962,,,
27,21464,216,0.0983456283903478,0.75,0.967741935483871,,,
28,22688,224,0.0621501888522883,0.875,0.9826589595375722,0.1572721447167491,0.375,0.94375
29,23400,232,0.1091503863396549,0.75,0.9448818897637796,,,
30,23920,240,0.1005717234889147,0.875,0.9672131147540984,,,
31,24952,248,0.0499104323999126,0.75,0.972027972027972,0.1454762142424998,0.75,0.935897435897436
32,25664,256,0.0746334935379185,0.625,0.96,,,
33,26504,264,0.0980622659270973,0.625,0.9620253164556962,,,
34,27216,272,0.0746357428239884,0.75,0.9774436090225564,0.1427674801183457,0.625,0.9224137931034484
35,27800,280,0.1088217484165593,0.5,0.9607843137254902,,,
36,28768,288,0.0708997363579646,0.375,0.9508196721311476,,,
37,29288,296,0.0918177731120494,0.875,0.9803921568627452,0.1168263759203862,0.25,0.9027777777777778
38,30320,304,0.0677325109250458,0.75,0.9736842105263158,,,
39,30840,312,0.0832327373210411,1.0,1.0,,,
40,31488,320,0.0791566113841103,0.875,0.9888888888888888,0.1730104043398832,0.375,0.9008264462809916
41,32136,328,0.1142305723559869,0.75,0.9855072463768116,,,
42,32784,336,0.0968836451619699,0.5,0.9771428571428572,,,
43,33368,344,0.0941988790823062,0.75,0.979381443298969,0.1355396540306073,0.5,0.9222222222222224
44,34016,352,0.0640328907943971,0.75,0.9847328244274808,,,
45,34536,360,0.0827750784178378,0.875,0.9879518072289156,,,
46,36208,368,0.0479725699853129,0.5,0.943661971830986,0.1383691960698919,0.5,0.9307692307692308
47,36792,376,0.044604098042589,1.0,1.0,,,
48,37568,384,0.0679027069107891,0.875,0.9848484848484848,,,
49,39368,392,0.0520678625919195,0.375,0.9666666666666668,0.2004072603534046,0.375,0.8992805755395683
50,40208,400,0.0803192008509004,0.75,0.9863013698630136,,,
51,40984,408,0.0533171650945571,1.0,1.0,,,
52,41568,416,0.0641594696786046,1.0,1.0,0.1408942974717685,0.625,0.9365079365079364
53,43368,424,0.0421732611614074,0.5,0.986842105263158,,,
54,43888,432,0.059364230970937,0.875,0.984375,0.15720832346496,0.625,0.8909090909090909
55,44536,440,0.0596126455873173,0.875,0.9921875,,,
56,45760,448,0.0298155238522097,0.875,0.9871794871794872,,,
57,46536,456,0.0469067865992685,1.0,1.0,0.1377517009750757,0.75,0.9439252336448598
58,47120,464,0.0528366673219721,1.0,1.0,,,
59,47704,472,0.0434675911522335,1.0,1.0,,,
60,48352,480,0.0398767413049638,1.0,1.0,0.1213411977938968,0.5,0.9230769230769232
61,49000,488,0.0559252717928318,1.0,1.0,,,
62,49648,496,0.0469666964259656,1.0,1.0,,,
63,50360,504,0.0529402522301142,0.875,0.9897959183673468,0.109650797253307,0.25,0.9289340101522844
64,51136,512,0.0593050737920892,1.0,1.0,,,
65,51784,520,0.0651465563534486,0.875,0.9852941176470588,,,
66,52368,528,0.0705633398154616,0.875,0.9904761904761904,0.1511316849726275,0.5,0.9241379310344828
67,52888,536,0.0674437665865183,0.875,0.988095238095238,,,
68,53920,544,0.0508391100325023,0.625,0.97119341563786,,,
69,54440,552,0.0599445572904167,1.0,1.0,0.1351277465244251,0.5,0.935483870967742
70,55216,560,0.0460419514377106,0.875,0.9923076923076924,,,
71,55864,568,0.0572275607678832,1.0,1.0,,,
72,56448,576,0.084186831623783,0.75,0.9770992366412212,0.1732570838560341,0.375,0.92
73,56968,584,0.065006208895241,1.0,1.0,,,
74,57488,592,0.0537129889610162,0.875,0.9905660377358492,,,
75,58520,600,0.0308334699654789,1.0,1.0,0.1731634292196953,0.5,0.912621359223301
76,59232,608,0.0454686855565201,0.875,0.989247311827957,,,
77,59752,616,0.0588786028693057,1.0,1.0,,,
78,60592,624,0.0425303074782358,0.875,0.993975903614458,0.1603392018741239,0.5,0.9204545454545454
79,61304,632,0.0401034069283091,1.0,1.0,,,
80,62016,640,0.036001243370077,1.0,1.0,,,
81,62600,648,0.037713581461759,0.875,0.9864864864864864,,,
82,63248,656,0.0439202699921537,1.0,1.0,0.1304922090150451,0.375,0.9338842975206612
83,64024,664,0.0489085971984095,1.0,1.0,,,
84,64544,672,0.0649491935640618,1.0,1.0,,,
85,65320,680,0.0383169391785655,1.0,1.0,0.1517687539871898,0.75,0.963855421686747
86,65840,688,0.0461194377576684,1.0,1.0,,,
87,66616,696,0.0586214522420293,0.875,0.9885714285714284,,,
88,67648,704,0.0360598750417425,1.0,1.0,0.1465326819007472,0.625,0.9263157894736842
89,68872,712,0.0295011743315532,1.0,1.0,,,
90,69520,720,0.0419146286527511,1.0,1.0,,,
91,70040,728,0.0798852146827652,0.875,0.9777777777777776,0.1467505849468769,0.75,0.9655172413793104
92,70624,736,0.0518581385613257,1.0,1.0,,,
93,72424,744,0.021810863572583,1.0,1.0,0.1107867382751202,0.625,0.9261744966442952
94,73072,752,0.0560013855353728,1.0,1.0,,,
95,74744,760,0.0261966196514247,0.875,0.9914529914529916,,,
96,75712,768,0.0378495181870068,0.875,0.9921875,0.1442019660286563,0.375,0.9271523178807948
97,76296,776,0.0663529131303106,0.75,0.9847328244274808,,,
98,77328,784,0.0245012602574308,1.0,1.0,,,
99,78040,792,0.0334014397687312,1.0,1.0,0.1992509714337702,0.375,0.8617021276595744
100,78560,800,0.0592350652521284,1.0,1.0,,,
101,79336,808,0.042403576039122,1.0,1.0,,,
