term,pmid,focused_sentences,text,relationships,model_curie:ft-user-92vwagyayt5ojmicz5l5vwi1-2021-10-01-12-16-16
causes,31543413," Lateral epicondylitis is the most common cause of lateral elbow pain. 

###

","MANAGEMENT OF LATERAL EPICONDYLITIS. Lateral epicondylitis is the most common cause of lateral elbow pain. Although also known as tennis elbow, lateral epicondylitis often develops as a work-related condition and therefore constitutes a major public health issue. This article reviews the pathophysiological factors involved in lateral epicondylitis, as well as the tools available for establishing the diagnosis and ruling out other causes of lateral elbow pain. Finally, the non-operative and surgical treatment options are discussed in detail.","
Lateral epicondylitis, causes, elbow pain
",
causes,31543413," This article reviews the pathophysiological factors involved in lateral epicondylitis, as well as the tools available for establishing the diagnosis and ruling out other causes of lateral elbow pain. 

###

","MANAGEMENT OF LATERAL EPICONDYLITIS. Lateral epicondylitis is the most common cause of lateral elbow pain. Although also known as tennis elbow, lateral epicondylitis often develops as a work-related condition and therefore constitutes a major public health issue. This article reviews the pathophysiological factors involved in lateral epicondylitis, as well as the tools available for establishing the diagnosis and ruling out other causes of lateral elbow pain. Finally, the non-operative and surgical treatment options are discussed in detail.",,
causes,25103301," Data for the causes of maternal deaths are needed to inform policies to improve maternal health. 

###

","GLOBAL CAUSES OF MATERNAL DEATH: A WHO SYSTEMATIC ANALYSIS. Data for the causes of maternal deaths are needed to inform policies to improve maternal health. We developed and analysed global, regional, and subregional estimates of the causes of maternal death during 2003-09, with a novel method, updating the previous WHO systematic review.",,
causes,22133988," From the most recent data the magnitude of visual impairment and its causes in 2010 have been estimated, globally and by WHO region. 

###

","GLOBAL ESTIMATES OF VISUAL IMPAIRMENT: 2010. From the most recent data the magnitude of visual impairment and its causes in 2010 have been estimated, globally and by WHO region. The definitions of visual impairment are the current definitions of presenting vision in the International Classification of Diseases version 10.",,
causes,29032195," Contemporary data for causes of vision impairment and blindness form an important basis of recommendations in public health policies. 

###

","GLOBAL CAUSES OF BLINDNESS AND DISTANCE VISION IMPAIRMENT 1990-2020: A SYSTEMATIC REVIEW AND META-ANALYSIS. Contemporary data for causes of vision impairment and blindness form an important basis of recommendations in public health policies. Refreshment of the Global Vision Database with recently published data sources permitted modelling of cause of vision loss data from 1990 to 2015, further disaggregation by cause, and forecasts to 2020.",,
causes,29547154," Sepsis is a leading cause of death in medical and surgical intensive care units (ICUs). 

###

","SEPSIS-ASSOCIATED ENCEPHALOPATHY: A REVIEW OF LITERATURE. Sepsis is a leading cause of death in medical and surgical intensive care units (ICUs). Disturbance of consciousness of varying severity is an early warning sign of developing sepsis in the majority of cases. Sepsis-associated encephalopathy (SAE) is the most frequent type of encephalopathy in the ICU and is defined as a state of diffuse cerebral dysfunction caused by the inflammatory response of the body to various infections, where the inflammatory process does not affect the central nervous system (CNS) directly and the primary symptom is a disturbed level of consciousness. The aim of this comprehensive review was to collect the latest scientific knowledge regarding the epidemiology, clinical aspects, pathogenesis, diagnosis, and possible prevention strategies related to SAE.","
Sepsis, causes, death
",
causes,29547154," Sepsis-associated encephalopathy (SAE) is the most frequent type of encephalopathy in the ICU and is defined as a state of diffuse cerebral dysfunction caused by the inflammatory response of the body to various infections, where the inflammatory process does not affect the central nervous system (CNS) directly and the primary symptom is a disturbed level of consciousness. 

###

","SEPSIS-ASSOCIATED ENCEPHALOPATHY: A REVIEW OF LITERATURE. Sepsis is a leading cause of death in medical and surgical intensive care units (ICUs). Disturbance of consciousness of varying severity is an early warning sign of developing sepsis in the majority of cases. Sepsis-associated encephalopathy (SAE) is the most frequent type of encephalopathy in the ICU and is defined as a state of diffuse cerebral dysfunction caused by the inflammatory response of the body to various infections, where the inflammatory process does not affect the central nervous system (CNS) directly and the primary symptom is a disturbed level of consciousness. The aim of this comprehensive review was to collect the latest scientific knowledge regarding the epidemiology, clinical aspects, pathogenesis, diagnosis, and possible prevention strategies related to SAE.","
inflammatory response, causes, encephalopathy
",
causes,33275949," Many causes of vision impairment can be prevented or treated. 

###

","CAUSES OF BLINDNESS AND VISION IMPAIRMENT IN 2020 AND TRENDS OVER 30 YEARS, AND PREVALENCE OF AVOIDABLE BLINDNESS IN RELATION TO VISION 2020: THE RIGHT TO SIGHT: AN ANALYSIS FOR THE GLOBAL BURDEN OF DISEASE STUDY. Many causes of vision impairment can be prevented or treated. With an ageing global population, the demands for eye health services are increasing. We estimated the prevalence and relative contribution of avoidable causes of blindness and vision impairment globally from 1990 to 2020. We aimed to compare the results with the World Health Assembly Global Action Plan (WHA GAP) target of a 25% global reduction from 2010 to 2019 in avoidable vision impairment, defined as cataract and undercorrected refractive error.",,
causes,33275949," We estimated the prevalence and relative contribution of avoidable causes of blindness and vision impairment globally from 1990 to 2020. 

###

","CAUSES OF BLINDNESS AND VISION IMPAIRMENT IN 2020 AND TRENDS OVER 30 YEARS, AND PREVALENCE OF AVOIDABLE BLINDNESS IN RELATION TO VISION 2020: THE RIGHT TO SIGHT: AN ANALYSIS FOR THE GLOBAL BURDEN OF DISEASE STUDY. Many causes of vision impairment can be prevented or treated. With an ageing global population, the demands for eye health services are increasing. We estimated the prevalence and relative contribution of avoidable causes of blindness and vision impairment globally from 1990 to 2020. We aimed to compare the results with the World Health Assembly Global Action Plan (WHA GAP) target of a 25% global reduction from 2010 to 2019 in avoidable vision impairment, defined as cataract and undercorrected refractive error.",,
causes,29889859," Meta-analyses were conducted to determine the frequency (percentages) of seven bacterial types known to cause meningitis: Escherichia coli, Haemophilus influenzae, Neisseria meningitidis, Streptococcus pneumoniae, group B Streptococcus agalactiae, Staphylococcus aureus, and Listeria monocytogenes, with results being stratified by six geographical regions as determined by the World Health Organization, and seven age groups. 

###

","GLOBAL ETIOLOGY OF BACTERIAL MENINGITIS: A SYSTEMATIC REVIEW AND META-ANALYSIS. Bacterial meningitis is a global public health concern, with several responsible etiologic agents that vary by age group and geographical area. The aim of this systematic review and meta-analysis was to assess the etiology of bacterial meningitis in different age groups across global regions. PubMed and EMBASE were systematically searched for English language studies on bacterial meningitis, limited to articles published in the last five years. The methodological quality of the studies was assessed using a customized scoring system. Meta-analyses were conducted to determine the frequency (percentages) of seven bacterial types known to cause meningitis: Escherichia coli, Haemophilus influenzae, Neisseria meningitidis, Streptococcus pneumoniae, group B Streptococcus agalactiae, Staphylococcus aureus, and Listeria monocytogenes, with results being stratified by six geographical regions as determined by the World Health Organization, and seven age groups. Of the 3227 studies retrieved, 56 were eligible for the final analysis. In all age groups, S. pneumoniae and N. meningitidis were the predominant pathogens in all regions, accounting for 25.1-41.2% and 9.1-36.2% of bacterial meningitis cases, respectively. S. pneumoniae infection was the most common cause of bacterial meningitis in the 'all children' group, ranging from 22.5% (Europe) to 41.1% (Africa), and in all adults ranging from 9.6% (Western Pacific) to 75.2% (Africa). E. coli and S. pneumoniae were the most common pathogens that caused bacterial meningitis in neonates in Africa (17.7% and 20.4%, respectively). N. meningitidis was the most common in children aged ±1-5 years in Europe (47.0%). Due to paucity of data, meta-analyses could not be performed in all age groups for all regions. A clear difference in the weighted frequency of bacterial meningitis cases caused by the different etiological agents was observed between age groups and between geographic regions. These findings may facilitate bacterial meningitis prevention and treatment strategies.","
Escherichia coli, causes, meningitis
Haemophilus influenzae, causes, meningitis
Neisseria meningitidis, causes, meningitis
Streptococcus pneumoniae group B, causes, meningitis
Streptococcus agalactiae, causes, meningitis
Staphylococcus aureus, causes, meningitis
Listeria monocytogenes, causes, meningitis
",
