step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,292,4,0.4613578356377224,0.0,0.4,0.2308327542809991,0.0,0.7083333333333334
2,584,8,0.6681035659832711,0.0,0.6125,,,
3,940,12,0.3166673854336543,0.0,0.796875,,,
4,1136,16,0.2756749813260588,0.75,0.8709677419354839,0.2643278088330993,0.5,0.88
5,1492,20,0.216193360601061,0.5,0.8813559322033898,,,
6,1752,24,0.1961218160980024,0.5,0.9,,,
7,2076,28,0.2918054652816681,0.25,0.8586956521739131,0.2265351731780417,0.5,0.881578947368421
8,2336,32,0.2985817842665312,0.5,0.8,,,
9,2724,36,0.2212171357000352,0.5,0.8448275862068966,,,
10,3624,40,0.1324828696134861,0.5,0.9236111111111112,0.2011859935147356,0.75,0.9310344827586208
11,3884,44,0.1895540440907211,0.75,0.9655172413793104,,,
12,4752,48,0.1224339425854976,0.25,0.914141414141414,0.1755852563878946,0.5,0.951219512195122
13,5076,52,0.248348768114474,0.0,0.8854166666666666,,,
14,5272,56,0.236274282388706,0.25,0.926829268292683,,,
15,5564,60,0.1678884699388795,0.0,0.8769230769230769,0.0904415304205915,0.5,0.9416058394160584
16,5824,64,0.1587414785960547,0.25,0.9069767441860463,,,
17,6020,68,0.22470531134821,0.5,0.8611111111111112,,,
18,6376,72,0.1330486725159496,0.5,0.9393939393939394,0.1392657418727083,0.25,0.96875
19,6636,76,0.2301318972885098,0.25,0.875,,,
20,6960,80,0.2095758834260317,0.5,0.875,,,
21,7220,84,0.1460232502488978,0.75,0.9555555555555556,0.2421220815176703,0.5,0.872093023255814
22,7448,88,0.1507218937921477,0.75,0.9230769230769232,,,
23,7836,92,0.1380614513672033,0.25,0.8888888888888888,,,
24,8096,96,0.1669429801878031,0.75,0.9545454545454546,0.1148401186163417,0.75,0.956989247311828
25,8420,100,0.2185085739848137,0.25,0.9210526315789472,,,
26,8680,104,0.1002006778693243,0.75,0.945945945945946,,,
27,8844,108,0.1280920448554934,0.75,0.9655172413793104,0.1697871514292751,0.5,0.9090909090909092
28,9232,112,0.098484625002185,0.75,0.953125,,,
29,9556,116,0.0974366942066285,0.5,0.9666666666666668,,,
30,9880,120,0.0958875389721745,1.0,1.0,0.1619744458582659,0.5,0.96
31,10140,124,0.0808266537413871,1.0,1.0,,,
32,10400,128,0.0944829064816808,0.5,0.9636363636363636,,,
33,11300,132,0.0426435989240301,0.5,0.9640718562874252,0.182834183698742,0.5,0.9387755102040816
34,11624,136,0.0728483232703735,0.75,0.9838709677419356,,,
35,11852,140,0.1144727931561606,0.5,0.9591836734693876,,,
36,12208,144,0.05921461500653,0.75,0.9714285714285714,0.1542801108430386,0.5,0.8888888888888888
37,12468,148,0.0793658947986063,0.75,0.9454545454545454,,,
38,12824,152,0.0622805573063384,0.75,0.9777777777777776,,,
39,13212,156,0.0754819234097271,0.5,0.9545454545454546,0.1922718743334499,1.0,1.0
40,13472,160,0.077923953214357,0.75,0.9642857142857144,,,
41,13796,164,0.0699090924228293,0.75,0.9883720930232558,,,
42,14152,168,0.0635738364043939,0.5,0.935483870967742,0.3087199385615403,0.25,0.7647058823529411
43,14412,172,0.0767509640568977,0.75,0.975609756097561,,,
44,14768,176,0.0657906974263278,1.0,1.0,,,
45,15060,180,0.1137098397533634,0.75,0.9615384615384616,0.2780669782171592,0.25,0.90625
46,15320,184,0.0996349209947508,0.75,0.9722222222222222,,,
47,15612,188,0.1224266052221756,0.25,0.9411764705882352,,,
48,15904,192,0.087412979325593,0.75,0.9705882352941176,0.2532356513920568,0.25,0.8923076923076924
49,16164,196,0.0507999714089419,0.75,0.9803921568627452,,,
50,16456,200,0.0795112857936578,0.5,0.9534883720930232,,,
51,17324,204,0.0573276535042629,0.75,0.9657142857142856,0.1537055153679364,1.0,1.0
52,17680,208,0.0512358519736979,1.0,1.0,,,
53,17908,212,0.0529637432604538,1.0,1.0,,,
54,18168,216,0.0529629205159955,1.0,1.0,0.2972053592153161,0.5,0.9166666666666666
55,18332,220,0.0507637556629107,1.0,1.0,,,
56,18624,224,0.053562763771579,1.0,1.0,,,
57,18852,228,0.0451358394397892,1.0,1.0,,,
58,19112,232,0.0553781038922253,1.0,1.0,0.4013581171407472,0.0,0.8428571428571429
59,19372,236,0.0514511561478695,1.0,1.0,,,
60,19760,240,0.059150057425698,0.5,0.9558823529411764,,,
61,20020,244,0.0436874578462879,1.0,1.0,0.3311758113669333,0.5,0.8793103448275862
62,20376,248,0.0316107788592405,1.0,1.0,,,
63,20636,252,0.0467513991078157,1.0,1.0,,,
64,21504,256,0.0302482418671443,0.5,0.9902912621359224,0.1388680167703155,0.25,0.953846153846154
65,21764,260,0.0319975423038086,1.0,1.0,,,
66,22024,264,0.0398951146771001,1.0,1.0,,,
67,22284,268,0.0459703863983039,1.0,1.0,0.1821251191198868,0.25,0.9142857142857144
68,22608,272,0.0582329551142279,0.75,0.984375,,,
69,22804,276,0.0404360990777396,1.0,1.0,,,
70,23096,280,0.0597375752089559,0.75,0.9848484848484848,0.2769400630501109,0.5,0.8829787234042553
71,23452,284,0.0347283206674629,0.75,0.9814814814814816,,,
72,23648,288,0.0559931766851308,1.0,1.0,,,
73,23940,292,0.0563263660543722,1.0,1.0,0.1837202352064626,0.25,0.9305555555555556
74,24232,296,0.0422742635049138,1.0,1.0,,,
75,25132,300,0.0236778324465504,0.75,0.9942528735632185,0.1339213916800876,0.75,0.9473684210526316
76,25456,304,0.0369593673876508,1.0,1.0,,,
77,25780,308,0.0375874814039684,1.0,1.0,,,
78,26040,312,0.0304174843853249,1.0,1.0,0.1983716955966468,0.25,0.9154929577464788
79,26940,316,0.0207454712259984,1.0,1.0,,,
80,27168,320,0.0499502583484937,1.0,1.0,0.1681456615796125,0.25,0.9272727272727272
81,27428,324,0.0553382951332503,1.0,1.0,,,
82,27592,328,0.0405114256307376,1.0,1.0,,,
83,27852,332,0.028536201226522,1.0,1.0,,,
84,28112,336,0.0296829283387876,1.0,1.0,0.1664452090740566,0.0,0.9230769230769232
85,28372,340,0.0339488927242387,1.0,1.0,,,
86,28536,344,0.0732922448457606,1.0,1.0,,,
87,29404,348,0.0183769636645228,0.75,0.9940828402366864,0.2229135483821873,0.25,0.8222222222222222
88,29696,352,0.037571875425915,1.0,1.0,,,
89,30052,356,0.0416610191587623,0.75,0.984126984126984,,,
90,30440,360,0.0296024706895983,1.0,1.0,0.1192984595137736,0.5,0.96
91,30700,364,0.0268468788423011,1.0,1.0,,,
92,30992,368,0.0391493087747508,1.0,1.0,,,
93,31252,372,0.0278490500068418,1.0,1.0,0.1252513743479763,1.0,1.0
94,31576,376,0.0320299089698844,1.0,1.0,,,
95,31772,380,0.0310214887682917,1.0,1.0,,,
96,32128,384,0.0320659244156535,1.0,1.0,0.1661386644364773,0.5,0.927927927927928
97,32388,388,0.0509236199072867,1.0,1.0,,,
98,32648,392,0.0423163297189674,1.0,1.0,,,
99,33036,396,0.0367175905626979,1.0,1.0,0.2462713791200811,0.25,0.9130434782608696
100,33392,400,0.0303899576316465,1.0,1.0,,,
101,33748,404,0.0341644942320187,1.0,1.0,,,
102,34008,408,0.0447903237040031,1.0,1.0,0.2426066002031321,0.5,0.9487179487179488
