Problem_CUI,icd9_code,co_occurrance_probability
C0002940,3972,0.09065550906555091
C0022661,3995,0.06913280776228017
C0031039,370,0.06601466992665037
C0022661,3895,0.06432417115330122
C0032227,3491,0.06281565656565657
C0085616,3972,0.06115107913669064
C0018946,0131,0.059850374064837904
C0027651,9925,0.0569280343716434
C0008311,5187,0.05058365758754864
C0085605,5491,0.04619028819581523
C0302148,3895,0.04322084073416222
C0018932,4523,0.042725173210161664
C0002940,8841,0.04170957775489186
C0220983,311,0.039469893402477675
C0003962,5491,0.03829101168883514
C0022658,3895,0.037867312935474094
C0022658,3995,0.036872218690400506
C0302148,5491,0.036509675063891925
C0398738,0066,0.036354326676907314
C0041948,3895,0.03622735790131168
C1510475,4523,0.03558504221954162
C0020517,3895,0.03548759376803231
C0041948,3995,0.03506493506493506
C0745138,3995,0.0341007819287576
C3714514,3895,0.03298350824587706
C0041582,4513,0.032595325953259535
C0017181,4516,0.03114860480207657
C2830004,3995,0.030782029950083195
C0020517,3995,0.0303030303030303
C0206698,5491,0.03001519756838906
C0302148,3995,0.02981651376146789
C0017181,4523,0.02954048140043764
C0032227,3895,0.029243292131444075
C0600688,3895,0.02842759846017175
C0546817,3324,0.028278173439463757
C0206698,311,0.028099652375434526
C0001127,311,0.02746458514021393
C0017181,4513,0.0273065784029789
C0546817,311,0.02727008993327531
C0085605,3895,0.027112232030264815
C0206698,3895,0.026597370834607153
C0032227,3995,0.026399155227032733
C0751781,5491,0.02608695652173913
C3714514,3324,0.02601693165393351
C0085605,3995,0.025925925925925925
C0032326,3404,0.025878717651602937
C0600688,0331,0.025299238302502722
C0220983,3324,0.02521884118382659
C0025222,4513,0.025047358450852448
C0011860,3895,0.025036390101892285
C0032227,3404,0.024900757849151932
C0020517,3324,0.024728588661037387
C0022661,4513,0.02469619756958056
C0220983,4311,0.024154589371980676
C0600688,3995,0.023983315954118872
C0032227,5491,0.02389843166542196
C3714514,3995,0.02377445823690301
C0220983,9672,0.02368392722575089
C0036974,311,0.023612750885478158
C0020517,311,0.023581025500411294
C0021308,4311,0.023521272915946037
C0042963,4513,0.023507385063449137
C0034063,3324,0.023109243697478993
C0011860,3995,0.02307850813929528
C0022661,3324,0.02302958109986103
C0001127,3324,0.022983702465524447
C1265876,3324,0.022799240025332488
C0020517,9672,0.02271526677231907
C0014867,5491,0.02268041237113402
C2830004,3891,0.022569663346362373
C0085616,8841,0.022459292532285232
C0032227,3324,0.022383419689119173
C0036974,4311,0.02202486678507993
C0031106,311,0.021987951807228914
C0020517,3891,0.0219807668290246
C0302148,3324,0.02169463774048301
C0264490,311,0.02167630057803468
C0021400,3324,0.02142121524201854
C0022661,3893,0.021321740930497338
C0022661,9904,0.021286231884057972
C0220983,0331,0.021175814990247982
C2830004,0331,0.021143941447546763
C0012359,5491,0.021107128634010354
C3714514,9672,0.020998500107135207
C0546817,9672,0.020939017808958446
C0206698,3324,0.020924879681941826
C0302148,311,0.0207923574037651
C0039239,3324,0.020449897750511245
C0032227,311,0.02029731275014294
C0018926,4513,0.02017841971112999
C0022661,9604,0.020157814468536567
C0009676,3995,0.02012578616352201
C0302148,4513,0.01999596041203797
C0264490,9672,0.01993964216425954
C0037199,311,0.019774870702768482
C0751781,3895,0.019564531397917324
C3714514,3891,0.01929913661757237
C0020517,3893,0.01921079958463136
C0206698,4513,0.019199009083402146
C0006266,3324,0.019098712446351928
C0036572,3891,0.018950064020486556
C0001127,9672,0.018863856850274877
C0020517,9604,0.018710880277000932
C0036974,3324,0.018663838812301166
C0600688,9672,0.018451365187713314
C0600688,3324,0.01842374616171955
C0012359,3895,0.018412698412698412
C0038454,4311,0.01837725381414702
C0020517,0331,0.018326693227091635
C0021400,9672,0.018296597474855555
C0041582,3995,0.018208765615075163
C0302148,3891,0.018184114155827755
C0032227,4311,0.01811965811965812
C0001122,3995,0.018082788671023965
C0020517,4513,0.018059138717999603
C3714514,9915,0.018037630228580313
C2830004,9672,0.017999786984769412
C0546817,3995,0.017933390264730998
C0085605,4513,0.01791359325605901
C0009676,3895,0.017899761336515514
C1265876,9672,0.01788036410923277
C1514893,3324,0.01784197111299915
C0206698,3891,0.017793138760880695
C0011860,4513,0.017771565495207666
C0001127,9390,0.017737848422022574
C0206698,3995,0.017701002345915973
C0040053,4513,0.017466329966329967
C0022661,9671,0.01743672748675692
C0021400,3891,0.01736815415821501
C0043144,9390,0.01734763752567907
C0011860,3891,0.017301905717151452
C0302148,9672,0.017276314386264265
C0085631,311,0.017226017226017225
C0022661,3891,0.01722428748451053
C3714514,9604,0.01719621145966279
C0032227,9672,0.017174753112924004
C1514893,311,0.01715468796214138
C0206698,9672,0.01715210355987055
C0264490,3324,0.017129726342176726
C0043144,3891,0.017050515332739533
C0019080,3324,0.017006802721088433
C2830004,9604,0.016999063043769237
C2830004,3893,0.01688907422852377
C0011860,3893,0.01684955015861459
C0264490,3895,0.016773406526379993
C0021400,9604,0.016712531042351837
C0302148,3893,0.016691007719591068
C3714514,9671,0.01664427526496492
C0302148,8872,0.01662495530925992
C3714514,3893,0.01662397407078258
C0036572,9672,0.016616314199395774
