step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,6688,32,0.2652087126012468,0.0,0.6436567164179104,0.2221923987521161,0.0,0.7033158813263525
2,10048,64,0.2886909750787902,0.0,0.6301369863013698,,,
3,13920,96,0.200274131047186,0.03125,0.8440677966101695,,,
4,20864,128,0.0953138350711647,0.0,0.8761552680221811,0.1283456077624742,0.3125,0.875
5,25760,160,0.114247863172357,0.625,0.9136546184738956,,,
6,29120,192,0.1506833881015002,0.46875,0.9182509505703422,,,
7,34016,224,0.0940231328913314,0.28125,0.9127906976744186,0.0823407814592928,0.5,0.954954954954955
8,38400,256,0.1024772672286122,0.3125,0.926984126984127,,,
9,42272,288,0.118585748473406,0.375,0.9262759924385632,,,
10,46144,320,0.1027753872027054,0.53125,0.9358407079646016,0.0755932138177998,0.5,0.945414847161572
11,51808,352,0.0620128630457615,0.53125,0.9452054794520548,,,
12,56192,384,0.0897395768998423,0.4375,0.9260042283298098,,,
13,59296,416,0.1194755582454806,0.4375,0.953900709219858,0.0774289045609775,0.5,0.9589442815249268
14,63168,448,0.0936978013656025,0.53125,0.9464285714285714,,,
15,67040,480,0.0896472636490077,0.5,0.9410569105691056,,,
16,70144,512,0.1163386966902993,0.5625,0.9423963133640552,0.0767029202467945,0.40625,0.9515235457063712
17,72224,544,0.1724805744962201,0.5625,0.930835734870317,,,
18,75840,576,0.08372647089415,0.5625,0.9622641509433962,,,
19,82016,608,0.0589738545358642,0.4375,0.929539295392954,0.0841213088433022,0.375,0.9445324881141046
20,86144,640,0.0864733437443106,0.53125,0.9529616724738676,,,
21,89248,672,0.0984038993973172,0.5625,0.9443037974683544,,,
22,91840,704,0.1252895512595596,0.59375,0.9552631578947368,0.0670700598047877,0.53125,0.954954954954955
23,95968,736,0.0943834214407677,0.46875,0.9332129963898916,,,
24,98816,768,0.1336689398477324,0.40625,0.9350912778904664,,,
25,101664,800,0.1053949613028509,0.5625,0.9536842105263158,0.0786723919907402,0.46875,0.9513422818791948
26,105792,832,0.0572897681952028,0.84375,0.986206896551724,,,
27,108384,864,0.0955506448231864,0.75,0.9770408163265306,,,
28,111488,896,0.0754110215715958,0.8125,0.984,0.0602787968586108,0.6875,0.9686847599164928
29,118176,928,0.0442897388001578,0.6875,0.9628378378378378,,,
30,122304,960,0.0570490284741498,0.78125,0.9872,,,
31,125664,992,0.0799114654560459,0.75,0.9734513274336284,0.0783577210161492,0.5,0.949238578680203
32,129536,1024,0.0683222904826498,0.6875,0.9575371549893844,,,
33,135712,1056,0.0421435425115419,0.75,0.9785276073619632,,,
34,138816,1088,0.0661093364955409,0.90625,0.9912536443148688,0.0736082842443665,0.46875,0.9459876543209876
35,142176,1120,0.0759814170687144,0.71875,0.9669211195928752,,,
36,147072,1152,0.047239381174603,0.6875,0.983751846381093,,,
37,151456,1184,0.0560078835728657,0.6875,0.9812792511700468,0.0740964251763641,0.625,0.975
38,156352,1216,0.0488538011062159,0.875,0.9887640449438202,,,
39,162016,1248,0.0386979726211757,0.8125,0.984641638225256,,,
40,166400,1280,0.0605787418689319,0.84375,0.9816849816849816,0.0889213501367753,0.5,0.9399656946826758
41,170272,1312,0.0654136790166276,0.75,0.9789473684210528,,,
42,173888,1344,0.0628691473058575,0.75,0.9777227722772276,,,
43,177248,1376,0.0548640251899173,0.9375,0.9922077922077922,0.0711217915874692,0.5625,0.9591078066914498
44,180096,1408,0.0732940782979666,0.75,0.9817184643510056,,,
45,183200,1440,0.0701756612656392,0.71875,0.9796747967479674,,,
46,190144,1472,0.0314857212679292,0.84375,0.9880478087649402,0.0699998834257865,0.59375,0.9625468164794008
47,193760,1504,0.0660756531284575,0.8125,0.9834558823529412,,,
48,197120,1536,0.0783574882577135,0.6875,0.9732313575525812,,,
49,199968,1568,0.0835256193629838,0.90625,0.9936842105263158,0.0780510651405943,0.5,0.9609571788413098
50,206656,1600,0.0410490845865574,0.84375,0.9772296015180264,,,
51,210528,1632,0.0504084798023805,0.90625,0.9923857868020304,,,
52,214400,1664,0.058673194474791,0.84375,0.9876543209876544,0.086123967118971,0.46875,0.9534883720930232
53,218016,1696,0.0624772442783058,0.8125,0.9875444839857652,,,
54,220864,1728,0.06272259907863,0.96875,0.9975669099756692,,,
55,227808,1760,0.0273742481463024,0.96875,0.998046875,0.0691037058880638,0.625,0.963718820861678
56,232192,1792,0.0466772794994304,0.875,0.9870759289176092,,,
57,234784,1824,0.0684036934194211,0.90625,0.9914346895074948,,,
58,237888,1856,0.0595697339367239,0.9375,0.9959839357429718,0.0663154696276555,0.625,0.9714285714285714
59,241760,1888,0.0548528817856698,0.90625,0.9939271255060728,,,
60,246144,1920,0.0426022966601359,1.0,1.0,,,
61,249248,1952,0.0599581167363342,0.9375,0.9953596287703016,0.083927566074052,0.4375,0.945859872611465
62,255424,1984,0.0345860521373907,0.9375,0.99601593625498,,,
63,258016,2016,0.0708316037635997,0.96875,0.9971830985915492,,,
