problem,CUI
Abnormally opaque structure (morphologic abnormality),C1265876
"Acidosis, Lactic",C0001125
"Acidosis, Respiratory",C0001127
Acute Coronary Syndrome,C0948089
Acute respiratory failure,C0264490
Adrenal gland hypofunction,C0001623
Agitation,C0085631
Alcohol abuse,C0085762
"Alcoholic Intoxication, Chronic",C0001973
"Alkalosis, Respiratory",C0002064
Anasarca,C0151603
Anemia of chronic disease,C0002873
Aneurysm,C0002940
Anion gap acidosis,C0860062
Anoxic Encephalopathy,C0003132
Aortic Aneurysm,C0003486
Apnea,C0003578
Back Pain,C0004604
Bandemia,C0741439
Blood Clot,C0302148
Cardiac Arrest,C0018790
Cardiac Arrhythmia,C0003811
Cerebrovascular accident,C0038454
Cholangiocarcinoma,C0206698
Chronic Kidney Diseases,C1561643
Chronic Kidney Insufficiency,C0403447
Confusion,C0009676
Congestive heart failure,C0018802
Crohn Disease,C0010346
Degenerative polyarthritis,C0029408
Depressed mood,C0344315
"Diabetes Mellitus, Non-Insulin-Dependent",C0011860
Diabetic Ketoacidosis,C0011880
Disease,C0012634
Drug Overdose,C0029944
Dyspnea,C0013404
Epilepsy,C0014544
Epistaxis,C0014591
Febrile Neutropenia,C0746883
Fever of Unknown Origin,C0015970
Fluid overload,C0546817
Gallstone pancreatitis,C0521614
Gastric ulcer,C0038358
Gastrointestinal Hemorrhage,C0017181
Gastroparesis,C0152020
"Heart Failure, Diastolic",C1135196
Hematemesis,C0018926
Hematochezia,C0018932
"Hematoma, Subdural",C0018946
Hematuria,C0018965
Hemorrhage,C0019080
Hepatitis B,C0019163
Hyperbilirubinemia,C0020433
Hypercalcemia,C0020437
Hyperglycemia,C0020456
Hypersensitivity,C0020517
Hypertensive urgency,C0745138
Hypocalcemia,C0020598
Infarction,C0021308
Infection,C3714514
Influenza,C0021400
Kidney Diseases,C0022658
"Kidney Failure, Chronic",C0022661
Lethargy,C0023380
Liver Failure,C0085605
Liver diseases,C0023895
"Lung Diseases, Interstitial",C0206062
Malignant Neoplasms,C0006826
Melena,C0025222
Mental status changes,C0856054
Metabolic alkalosis,C0220983
Mixed anxiety and depressive disorder,C0338908
Multiple Myeloma,C0026764
Myocardial Ischemia,C0151744
Neoplasms,C0027651
Neuropathy,C0442874
Normocytic anemia,C0085577
Nutritional Deficiency,C4761312
Obstruction,C0028778
Oliguria,C0028961
Oral candidiasis,C0006849
Osteomyelitis,C0029443
Paroxysmal atrial fibrillation,C0235480
Pathological Dilatation,C0012359
Pericardial effusion,C0031039
Pleural effusion disorder,C0032227
Pneumothorax,C0032326
Pressure Ulcer,C0011127
Pulmonary Edema,C0034063
Pulmonary Embolism,C0034065
Renal Insufficiency,C1565489
Rhabdomyolysis,C0035410
Rheumatoid Arthritis,C0003873
Seizures,C0036572
Sepsis due to urinary tract infection,C0149801
Shock,C0036974
"Shock, Cardiogenic",C0036980
Sinus Tachycardia,C0039239
Sinusitis,C0037199
Somnolence,C2830004
Syncope,C0039070
Thrombosis,C0040053
Toxic effect,C0600688
Ulcer,C0041582
Ulcerative Colitis,C0009324
Urinary tract infection,C0042029
Vomiting,C0042963
Wheezing,C0043144
diastolic congestive heart failure,C2183328
