Problem_CUI,Rx_CUI,co_occurrance_probability
C0746883,C0687786,0.14492753623188406
C0021400,C0875805,0.1389521640091116
C0085605,C1584819,0.08058608058608058
C0022661,C1951501,0.06313993174061433
C0085605,C0690704,0.06140350877192982
C0022661,C1967412,0.060218978102189784
C0085605,C0978650,0.06021897810218978
C0746883,C0708306,0.059620596205962065
C0085762,C0688559,0.05852842809364549
C0001127,C1951501,0.05474452554744525
C0746883,C0708786,0.05454545454545454
C0085605,C0708491,0.053941908713692956
C0002395,C1329877,0.05384615384615384
C0036980,C0976495,0.05333333333333334
C0220983,C0687773,0.05217391304347826
C0022658,C1951501,0.05185185185185184
C0022661,C0975120,0.05139186295503211
C0022661,C0706907,0.04972375690607735
C0011860,C1951501,0.049180327868852465
C0014867,C1584819,0.048979591836734684
C0019151,C1584819,0.047717842323651456
C0027651,C0708306,0.04761904761904762
C0236663,C0688559,0.04699248120300752
C0022661,C0706903,0.046979865771812075
C0038826,C0875805,0.0469208211143695
C0039239,C0687786,0.04676258992805756
C0751781,C0708491,0.04602510460251047
C0751781,C0978650,0.045787545787545784
C0021400,C0974671,0.04573804573804574
C0745138,C1585125,0.04564315352697096
C0242656,C0980402,0.045454545454545456
C0022661,C1585125,0.0443213296398892
C0014544,C0875826,0.043814432989690726
C0600688,C0875805,0.04365904365904366
C0264490,C0687786,0.043650793650793655
C0264490,C0980402,0.04278074866310161
C0027947,C0708306,0.0423728813559322
C0751781,C1584819,0.042279411764705885
C0022661,C0706911,0.04223227752639517
C0036572,C1739168,0.0416184971098266
C0746883,C3887762,0.041522491349480974
C0014867,C0690395,0.0413625304136253
C0001125,C1951501,0.04059040590405904
C0022661,C0978650,0.04
C0018946,C0875827,0.039795918367346944
C1135191,C0976495,0.039735099337748346
C0002940,C0774366,0.03964194373401534
C0085082,C0939139,0.03956834532374101
C0014867,C0689706,0.03924646781789638
C3714514,C0875805,0.0392156862745098
C0019348,C5201042,0.0387243735763098
C0036572,C0875826,0.03864734299516908
C0017181,C0690704,0.038461538461538464
C0034065,C2586911,0.03823529411764706
C0302148,C1951501,0.037800687285223365
C0019080,C0980402,0.037617554858934164
C0220983,C0875805,0.03761061946902655
C0036572,C0875827,0.037601626016260166
C1265876,C0974671,0.037527593818984545
C0546817,C0980402,0.037383177570093455
C0085605,C0975752,0.03733333333333333
C0022661,C4048508,0.03732809430255402
C0018946,C1739168,0.03716608594657376
C0264490,C1951501,0.03690685413005272
C0002940,C0979504,0.0368421052631579
C0746883,C0939139,0.03666666666666667
C0085762,C4281823,0.036398467432950186
C0238052,C0974671,0.03619909502262443
C0206698,C0780681,0.03617021276595745
C0022658,C1967412,0.035856573705179286
C0206698,C0690704,0.03571428571428571
C0022658,C0975120,0.035629453681710214
C0001957,C0688559,0.035381750465549346
C0751781,C0690704,0.03529411764705882
C0206698,C1329616,0.035278154681139755
C0036572,C1329089,0.03508771929824561
C0012359,C0690704,0.03498542274052478
C0001127,C0974671,0.03497942386831276
C0012359,C0980402,0.03492063492063492
C0745283,C0974671,0.034562211981566816
C0004604,C1951501,0.034482758620689655
C0022661,C0689843,0.03445065176908753
C1265876,C0980402,0.034375
C0746883,C0975752,0.03426791277258567
C0085605,C0690395,0.03426124197002141
C0085605,C0361232,0.033932135728542916
C0020517,C0707479,0.033846153846153845
C0027651,C0689665,0.03333333333333333
C0012359,C1951501,0.03333333333333333
C0004626,C0875805,0.03323262839879154
C0004604,C0689665,0.03312302839116719
C0011127,C0981180,0.03294117647058823
