Child Node,Child Foreign Key,Parent Node,Parent Foreign Key,RELATIONSHIP_NAME
callout,hadm_id,admissions,hadm_id,OCCURRED_DURING
caregivers,cgid,chartevents,cgid,CHARTED
caregivers,cgid,datetimeevents,cgid,CHARTED
caregivers,cgid,inputevents_cv,cgid,CHARTED
caregivers,cgid,inputevents_mv,cgid,CHARTED
caregivers,cgid,noteevents,cgid,CHARTED
caregivers,cgid,outputevents,cgid,CHARTED
caregivers,cgid,procedureevents_mv,cgid,CHARTED
chartevents,hadm_id,admissions,hadm_id,OCCURRED_DURING
chartevents,icustay_id,icustays,icustay_id,OCCURRED_DURING
cptevents,hadm_id,admissions,hadm_id,OCCURRED_DURING
d_icd_diagnoses,icd9_code,diagnoses_icd,icd9_code,DESCRIBES
d_icd_procedures,icd9_code,procedures_icd,icd9_code,DESCRIBES
d_items,itemid,chartevents,itemid,DESCRIBES
d_items,itemid,datetimeevents,itemid,DESCRIBES
d_items,itemid,inputevents_mv,itemid,DESCRIBES
d_items,itemid,microbiologyevents,ab_itemid,DESCRIBES
d_items,itemid,microbiologyevents,org_itemid,DESCRIBES
d_items,itemid,microbiologyevents,spec_itemid,DESCRIBES
d_items,itemid,outputevents,itemid,DESCRIBES
d_items,itemid,procedureevents_mv,itemid,DESCRIBES
d_labitems,itemid,labevents,itemid,DESCRIBES
datetimeevents,hadm_id,admissions,hadm_id,OCCURRED_DURING
datetimeevents,icustay_id,icustays,icustay_id,OCCURRED_DURING
diagnoses_icd,hadm_id,admissions,hadm_id,OCCURRED_DURING
drgcodes,hadm_id,admissions,hadm_id,OCCURRED_DURING
icustays,hadm_id,admissions,hadm_id,OCCURRED_DURING
inputevents_cv,hadm_id,admissions,hadm_id,OCCURRED_DURING
inputevents_cv,icustay_id,icustays,icustay_id,OCCURRED_DURING
inputevents_mv,hadm_id,admissions,hadm_id,OCCURRED_DURING
inputevents_mv,icustay_id,icustays,icustay_id,OCCURRED_DURING
labevents,hadm_id,admissions,hadm_id,OCCURRED_DURING
microbiologyevents,hadm_id,admissions,hadm_id,OCCURRED_DURING
noteevents,hadm_id,admissions,hadm_id,OCCURRED_DURING
outputevents,hadm_id,admissions,hadm_id,OCCURRED_DURING
outputevents,icustay_id,icustays,icustay_id,OCCURRED_DURING
patients,subject_id,admissions,subject_id,HAD
patients,subject_id,callout,subject_id,HAD
patients,subject_id,chartevents,subject_id,HAD
patients,subject_id,cptevents,subject_id,HAD
patients,subject_id,datetimeevents,subject_id,HAD
patients,subject_id,diagnoses_icd,subject_id,HAD
patients,subject_id,drgcodes,subject_id,HAD
patients,subject_id,icustays,subject_id,HAD
patients,subject_id,inputevents_cv,subject_id,HAD
patients,subject_id,inputevents_mv,subject_id,HAD
patients,subject_id,labevents,subject_id,HAD
patients,subject_id,microbiologyevents,subject_id,HAD
patients,subject_id,noteevents,subject_id,HAD
patients,subject_id,outputevents,subject_id,HAD
patients,subject_id,prescriptions,subject_id,HAD
patients,subject_id,procedureevents_mv,subject_id,HAD
patients,subject_id,procedures_icd,subject_id,HAD
patients,subject_id,services,subject_id,HAD
patients,subject_id,transfers,subject_id,HAD
prescriptions,hadm_id,admissions,hadm_id,OCCURRED_DURING
prescriptions,icustay_id,icustays,icustay_id,OCCURRED_DURING
procedureevents_mv,hadm_id,admissions,hadm_id,OCCURRED_DURING
procedureevents_mv,icustay_id,icustays,icustay_id,OCCURRED_DURING
procedures_icd,hadm_id,admissions,hadm_id,OCCURRED_DURING
services,hadm_id,admissions,hadm_id,OCCURRED_DURING
transfers,hadm_id,admissions,hadm_id,OCCURRED_DURING
transfers,icustay_id,icustays,icustay_id,OCCURRED_DURING
