icd9_code,Lab_CUI,normalized_co_occurrence_probability
0331,C0942423,1.0
3491,C0942432,0.9921270569210752
3491,C0942443,0.9793933843228757
3491,C0942477,0.9775127238971131
3491,C0942424,0.9679357650130997
5491,C0945358,0.9444047455493786
5491,C0942425,0.9410112738782129
5491,C0942478,0.9351030650614088
5491,C0942444,0.9229245235303682
3893,C0363885,0.8851858004749058
0331,C0365023,0.8834778480837776
5491,C1544491,0.8826705498006804
5491,C0942450,0.877447260791281
3491,C1315831,0.8592727476615913
3893,C0365095,0.8528848598940088
3893,C1369594,0.8467674140639206
3893,C0803387,0.846709276021555
3893,C0368013,0.8385313391857008
3893,C0364968,0.8371461720045519
5491,C1114285,0.8319303458447178
3491,C1114284,0.8262054843215433
3491,C1544494,0.8246238307372897
3893,C0364096,0.8223465864484232
3893,C0550447,0.8140372811952056
3893,C0364133,0.8128539252043093
3893,C1315166,0.8127288612074026
3893,C0550246,0.8105268502200467
3893,C0364207,0.8067363233587934
3893,C0364674,0.8058422633396473
3893,C0550440,0.7969124689202433
3893,C0365392,0.7942240871216576
3893,C0364055,0.7849504754421631
3893,C0364290,0.7832241076513929
8191,C0945365,0.7810462605233709
3893,C0362947,0.7770601272092167
8191,C0942426,0.7735131139130048
3893,C0364127,0.7707002976658435
8191,C0942433,0.7700765453430966
3893,C0368036,0.7696436360264719
3893,C0362909,0.7648363774217976
3893,C0362978,0.7593876121484975
3893,C0362934,0.753404300467929
3893,C0362907,0.7513857618690215
3893,C0364479,0.7454534831386039
3893,C0484851,0.7435466731596285
3893,C0363876,0.7398099222660102
3893,C0486259,0.7330752110008942
9604,C1369594,0.7309932078029573
9672,C0803387,0.7297143781617934
3893,C0362910,0.729276416152517
3893,C0362958,0.7256371325072014
3893,C0366777,0.7175698543666867
966,C0803387,0.7083404069820175
3893,C0362923,0.7046051406174754
3893,C0364961,0.6960774038698917
370,C0942431,0.6942152398984763
9604,C0550246,0.6939081793671428
9604,C0550447,0.6899821107309339
9604,C0803387,0.687034954407024
3893,C0362908,0.6859198672831451
9604,C0365095,0.6833099007654178
9604,C0364968,0.681106166693008
9604,C0550440,0.6774603254744458
9604,C0363885,0.6765835064201126
3893,C0362906,0.6691889280996706
966,C1369594,0.668820802107107
9604,C0364096,0.661088892824722
9604,C0368013,0.6579269875925334
9604,C1315166,0.6500958316179802
370,C0550836,0.6494458639459403
3961,C0364961,0.6379899155897455
9604,C0364674,0.6379078817755074
966,C0365095,0.6371213401577632
9604,C0364207,0.6370203984998895
3893,C0362900,0.6356423123425827
9604,C0364290,0.6331057455652216
9671,C0550440,0.6296182165675873
966,C0363885,0.6294653102927875
9604,C0364055,0.6293734889068198
9672,C1369594,0.6283407559406639
9604,C0364127,0.6268438701523327
9604,C0364133,0.6267244774152356
8856,C0803378,0.6249700833754693
9671,C1369594,0.6230850671036174
9671,C0550246,0.622974704645971
9671,C0550447,0.6217379389630683
9955,C0362989,0.6187362727818183
9604,C0362947,0.6165851033707589
966,C0368013,0.6142536101762597
966,C0550246,0.613906192224109
966,C0364968,0.6131178708783602
9604,C0362909,0.612316844586861
3893,C0368025,0.6117746361570416
3893,C0362980,0.6107527364933971
3893,C0364201,0.6102575982774832
966,C0550447,0.6097004236457078
9604,C0364479,0.6091602909090087
9604,C0362978,0.6050015068122125
9604,C0365392,0.6019770361626622
9904,C1369594,0.5990176134150333
9604,C0362958,0.5986739569693298
9604,C0484851,0.59552973304473
9604,C0368036,0.5948528489059511
966,C0362909,0.5942251822604667
9604,C0363876,0.5932597162701057
9604,C0362934,0.5905437556378932
3961,C0364127,0.5902658327085287
966,C0364096,0.5895080151446013
9604,C0362907,0.5892065991542761
966,C0550440,0.5881611883630368
3961,C0364479,0.5862111069991295
3893,C0365091,0.5854156917269103
9671,C0364968,0.582897556698272
9671,C1315166,0.5827678011750473
966,C0368036,0.5799118002093181
9672,C0363885,0.5779301026581621
9604,C0362908,0.5775583421290132
3893,C0365184,0.5751199768260014
9672,C0368013,0.573554259860184
9671,C0364096,0.5725037636682081
966,C0364207,0.572479616133011
9604,C0362910,0.5718149229346075
3324,C0942476,0.5712428190261096
966,C0364127,0.5706721695253201
9904,C0803387,0.5703315542749432
9604,C0366777,0.56845009647569
9904,C0550447,0.5675908176700855
3893,C0362949,0.5670309701136822
8856,C0484707,0.5659514309466399
9904,C0484851,0.5644263102495475
9672,C0364674,0.5634781994722236
9604,C0362906,0.5633598489255023
9671,C0365095,0.563107154542722
966,C0364674,0.5627700847215382
9604,C0364961,0.5627229277164242
9904,C0550246,0.5614881006632886
9672,C0365095,0.5613806983446127
9671,C0368013,0.5600281373505994
9671,C0363885,0.5599562613316856
9604,C0362923,0.5593404741040519
9671,C0364290,0.558408125382249
9671,C0364133,0.5574369958913958
9904,C0363885,0.5559788243609671
966,C1315166,0.5558642475284532
9671,C0364207,0.5550888660930299
966,C0364479,0.5531023478350616
966,C0364055,0.5506741862746058
9672,C0368036,0.5500193111136826
966,C0362947,0.5495441299051314
966,C0364133,0.5483254092850199
9904,C0550440,0.5482937031486562
9904,C0364674,0.5468831213661198
966,C0364290,0.5468031702910062
9672,C0364127,0.5465481369598415
9671,C0364479,0.543712854290511
9671,C0364055,0.5425569438998618
9904,C0365392,0.5424783282434835
9904,C0364127,0.5391109691321689
966,C0362978,0.5385700654983628
9671,C0362947,0.5368772411047497
9904,C0365095,0.5368534866409657
9904,C0364290,0.5366898319489218
9671,C0364127,0.5357663960174105
9904,C0368013,0.5343816696543838
9671,C0484851,0.533519001750483
3893,C0484652,0.5325148120220773
9672,C0364055,0.5321025651689001
966,C0365392,0.532003775035223
966,C0362908,0.5319806193007859
9671,C0364674,0.5311236673792256
9671,C0362934,0.5300577737636951
9604,C0362900,0.5297304427484218
966,C0362958,0.5287824045071446
3324,C0549816,0.5287694723263263
9671,C0362978,0.5276839049000096
966,C0363876,0.5271740516399982
9904,C0362909,0.5260683330807097
9904,C1315166,0.5254502999954191
9920,C0803378,0.5248050678748476
9604,C0486259,0.524577597937256
9904,C0362907,0.5241782249667827
9904,C0364961,0.5241027516457759
9672,C0550246,0.5237046875686867
9671,C0365392,0.5232171385733718
966,C0362906,0.5227677905840338
9904,C0364968,0.5220515533414949
9904,C0364096,0.5211466783264399
9904,C0364479,0.5205882951930195
966,C0364961,0.5205562621666648
9671,C0362910,0.5201514862869497
9904,C0364133,0.5189549713446622
9672,C0550447,0.5187654758789165
9672,C0364961,0.5185419448414719
9904,C0364207,0.5184346786359102
3491,C1114241,0.5176499794091919
9672,C0363876,0.5171284089662297
966,C0362907,0.5166977325313588
9671,C0362907,0.5155842243760212
9672,C1315166,0.5151000238700035
9672,C0362958,0.5148084008326168
966,C0484851,0.514760861495449
9671,C0366777,0.5144271333824498
9672,C0364290,0.5129929018174282
3891,C0803387,0.5124164464395115
3723,C0803378,0.5122361184671728
966,C0362934,0.5115277535203065
9671,C0363876,0.5104447205541361
9604,C0368025,0.5100732647265797
9672,C0364968,0.5100008701022739
3891,C1369594,0.508965761033754
3893,C0942460,0.5076634053733081
9904,C0364055,0.5067413425026794
9671,C0362923,0.5051702656644966
9904,C0362958,0.5049588414302271
9672,C0364479,0.5045303642700341
9671,C0362909,0.5044929851913328
9904,C0368036,0.5018161390362856
9604,C0364201,0.5014837933471186
9671,C0368036,0.501124153590093
966,C0366777,0.5010304725773571
9672,C0364201,0.4977528679685826
9672,C0362980,0.4976825390966226
9671,C0486259,0.49765407507192944
9671,C0803387,0.49726380945585485
966,C0362923,0.4972253244493062
9604,C0362980,0.4967760811661617
4131,C0362896,0.49667412784857207
9672,C0484851,0.4957326146442837
9671,C0362906,0.4944103015069259
966,C0362910,0.49330008887765414
9904,C0362900,0.49213218985994245
966,C0486259,0.49142477624138176
9671,C0362908,0.4913392321004692
9672,C0364096,0.49113933045438374
966,C0362900,0.4901056991030895
966,C0364201,0.4877684848303158
3893,C0366775,0.48771138548568455
9925,C0362896,0.48568997108001866
9671,C0362958,0.48562589043275045
9672,C0550440,0.48540459866923724
9604,C0362949,0.4833228174769108
3893,C0368078,0.48310153936049327
9672,C0365184,0.4828050490441196
3491,C0365029,0.48242962596663214
9672,C0368025,0.4823793069576033
9904,C0363876,0.4802744017160533
966,C0368025,0.4802647050662808
9904,C0362934,0.47852843476959667
3995,C0803387,0.4784447233223579
9672,C0365392,0.47831178433530397
9904,C0365091,0.47734881104968857
3995,C0365034,0.4769746912835769
9671,C0364961,0.47685165094106785
9672,C0364207,0.4758724364007686
9672,C0364133,0.47546349479830524
3961,C0365091,0.4723799222872271
966,C0362949,0.47121449822009387
3961,C0550246,0.4704563876307514
9604,C0365091,0.47021126665405366
9904,C0362947,0.46969398927751105
9904,C0362908,0.469495310553241
3893,C0366770,0.46850026032385045
3961,C0550447,0.46824088699517546
9672,C0942460,0.46753423390451093
8856,C0484851,0.466120683199968
9672,C0362909,0.4654751844507611
9904,C0362910,0.46524331196782903
966,C0365091,0.46522060620226713
3722,C0803378,0.46498548976263493
3893,C1316226,0.4633294914192981
9904,C0486259,0.46268347669695375
9604,C0365184,0.46175096752107164
9904,C0362978,0.46141865076178723
966,C0362980,0.4601825345271295
966,C0365184,0.45941245095276373
3893,C0365029,0.4593824021590648
3893,C0365160,0.45907449597556327
3606,C0803378,0.45799139348389295
9904,C0366777,0.4558051574908358
9671,C0364201,0.4552334002603062
3891,C0364674,0.4549812318909138
3961,C0365392,0.45423532668957123
3891,C0363885,0.45301502286740125
9904,C0484652,0.4527942688471267
9672,C0362947,0.4527779168420937
9672,C0365091,0.45269996807637364
3891,C0368013,0.451804385169425
5498,C0945355,0.4514150838661052
9915,C0803387,0.4512403891098282
3324,C2973277,0.45083025119243514
0093,C0944729,0.45036254795953623
9672,C0362907,0.45018714415690503
9904,C0362980,0.44989454065573675
3324,C0549819,0.44970212662209186
9904,C0365184,0.4489783763092573
9904,C0362906,0.4484198982737834
9671,C0368025,0.4481196053461049
9604,C0484652,0.4480955161110791
9672,C0362900,0.4476611059835043
9672,C0484652,0.4475961482758991
9925,C0362945,0.44739534874554027
3961,C0550440,0.4468747874799269
9904,C0362949,0.44663082974533713
3893,C0484707,0.4464834946410887
9904,C0362923,0.4460679832647423
3891,C0368036,0.4458343532750217
3404,C0942432,0.4453157732280388
9904,C0364201,0.4452258762464918
3891,C0550246,0.4445259424469319
3891,C0365095,0.4443972216842452
3891,C1315166,0.4434479021532368
3615,C0364961,0.44214352437536364
3404,C0942477,0.44158666048298373
9672,C0366775,0.4410460122565592
3891,C0364127,0.4409750148366021
3893,C0363775,0.44065411759852696
5059,C0365750,0.4403907174347021
3891,C0550447,0.4398851475264185
3404,C0942443,0.439323159730173
3324,C0803387,0.43758083516141555
3893,C0364121,0.43692209099009427
0066,C0803378,0.4352875831269812
9672,C0362949,0.4352071030977167
9672,C0362978,0.43497525813953947
9604,C0942460,0.43464678406234447
3891,C0484851,0.433999313828139
9671,C0362900,0.43267594481366833
3891,C0364055,0.4323747586991249
9904,C0366775,0.43209573885183644
3961,C0366781,0.4298779679356065
9672,C0362934,0.42944565843483046
3895,C0365034,0.4289810328289489
966,C0942460,0.4278545722025221
3891,C0362958,0.4277072807794326
5498,C0945626,0.4275226178025964
3891,C0364290,0.42665311196011785
9915,C0362980,0.42494027876448526
3723,C0484707,0.42490303099238713
9672,C0486259,0.4244527739721054
9904,C0942460,0.4240554122838482
3891,C0364968,0.4228537691245513
9915,C0942460,0.42236423475758644
9915,C0365184,0.42190378372583526
3891,C0550440,0.4197115792875792
9604,C0484707,0.4176956235898725
9915,C0362989,0.41620805945617084
966,C0484652,0.41617749589966213
8856,C0364290,0.4156855372909526
9672,C0368021,0.4155008670385306
370,C0549816,0.41536013047086945
9604,C0366775,0.4151334125822348
3891,C0363876,0.4148869834439225
3891,C0368025,0.4137227990163959
3404,C0942424,0.4116812303450357
3961,C0364207,0.41117496352339233
966,C0362989,0.41069930951422645
3891,C0364961,0.4106126250197569
3961,C0362907,0.4101889373385379
9672,C0368078,0.4101445970032682
966,C0368078,0.40920398840635314
5491,C1114242,0.4085040045982922
3404,C1315831,0.408484348731915
3615,C0364127,0.4083840917022906
3961,C0486259,0.40834451485773887
3891,C0364479,0.40806407013538676
3722,C0484707,0.40776463249556455
3891,C0364096,0.4077181689882769
3615,C0364479,0.40736234068740257
9672,C0362910,0.4066812681926059
9672,C0362908,0.40633438450065407
9915,C0362949,0.4063059630907937
370,C0945355,0.4057049530665374
