icd9_code,Rx_CUI,normalized_co_occurrence_probability
0013,C1169598,1.0
0014,C3887821,0.9908520129242754
0093,C0939181,0.8367119948277131
5059,C0939181,0.8085840327220287
0093,C0361232,0.8048229460990765
9920,C0875551,0.8008428515124114
5059,C0875717,0.7665227442261343
3961,C0711126,0.7577438174674368
3893,C4282056,0.7344276226289751
3893,C0980955,0.7275892078124577
3893,C4082777,0.72519712819657
3961,C4281899,0.7196412558764114
0093,C0875717,0.7188107622516847
3893,C4282050,0.7184675983641152
3893,C4281944,0.7180827902592124
415,C1618624,0.7174714063843253
3961,C0977796,0.7083204051967275
3892,C0980885,0.7081004325450447
3893,C4282051,0.7015266457483228
0093,C0361231,0.6931856753036096
5059,C0361232,0.6904444553416299
3961,C0774481,0.6815796989752877
0093,C0595475,0.6795270171081138
3893,C4282061,0.6775650003945916
3961,C0978604,0.6757149682414311
0093,C0875597,0.6684834104280517
5059,C0595475,0.6594811804052098
5059,C0875597,0.6574443024008877
3893,C0938971,0.6566736370765239
4105,C1581187,0.6462973137145622
3893,C4048223,0.6453165288147666
5059,C0716428,0.6381723159702807
3893,C1169578,0.6350832604308269
5569,C0359162,0.6291398330998852
3961,C0995060,0.6263094431416352
3893,C4082772,0.6249508071491654
9914,C4283427,0.6170165986848498
5059,C0361231,0.6142955264004671
0159,C0688496,0.6105895686975099
8856,C0691137,0.6068402754461728
8856,C0716159,0.6050389228813083
9983,C4082745,0.5992179155632198
415,C1658082,0.5982874926748534
3961,C0689881,0.5938215736522973
3893,C0774583,0.5922320697321568
3607,C0875551,0.5913930282973207
3893,C4082774,0.591054071582003
3893,C1359886,0.588839945683265
9904,C4048223,0.5879228374389961
0221,C0689771,0.5842420663068534
3895,C0977396,0.5778873062596416
9604,C4282056,0.5748497281241441
3615,C0774481,0.5682063391796608
9604,C4082777,0.5661297850297752
3961,C4281944,0.5652738304623756
3893,C3888181,0.5650095323480161
0159,C0688497,0.5641346471762718
9672,C4082772,0.5639957251088166
5569,C0939181,0.563830377441294
3893,C4082780,0.5609473063846173
3893,C4082779,0.559983689961203
0093,C0716428,0.5570431474601556
966,C4282056,0.5567816987605645
0066,C0875551,0.5559796818302211
9604,C4282050,0.5536138919359489
3961,C3465049,0.5523131213412924
3961,C0795367,0.5520994497091918
3615,C0711126,0.550395613386601
3995,C0977396,0.5503464536137115
3893,C0712074,0.547771738995944
0093,C0690859,0.5405036852671256
3615,C4281899,0.540099110251891
3995,C0939047,0.5389330712391002
3893,C2920421,0.5378331764732399
3893,C0977439,0.5377845657757983
9904,C0938971,0.5376302649982944
3893,C0140600,0.5374216945502732
9604,C4282051,0.5358681298369709
9604,C4082772,0.5343507114843122
0066,C0876711,0.5342177218411144
5059,C3887771,0.5335786034474197
0066,C1814027,0.5319297786816897
3893,C4082638,0.531773072861236
9604,C0980955,0.5312569158845494
5569,C0361232,0.5308468400890659
3961,C0140600,0.5300780444233673
3961,C0977056,0.5297353841066862
3961,C0981356,0.5289293228043098
966,C4282050,0.5287075894905159
966,C0980955,0.5267281824934723
5569,C0361231,0.5262727611152901
3893,C0981517,0.5258487141974831
9604,C4281944,0.5247842682620358
3893,C0977796,0.5246301804311061
9604,C4282061,0.524389045662578
966,C4281944,0.5238860546714784
966,C4082772,0.5232067133541871
9604,C1169578,0.5230302996766207
9672,C4082779,0.5196277609967811
966,C4082777,0.5161224535397326
3893,C4281882,0.5147577618927393
3961,C0712074,0.5138150449057486
9604,C4048223,0.5127818729053232
5059,C0688877,0.5120680950392219
9904,C0774583,0.5114680181959844
3893,C2343627,0.5113388265033018
8856,C1814027,0.510413661072143
9672,C4281944,0.5100104294000537
9672,C4082780,0.5096843966491132
4233,C0689706,0.507729285263974
9604,C4082779,0.5074404946395499
3615,C0978604,0.5059844643552944
9672,C2343627,0.5051890682877923
3615,C0977796,0.504957251457548
9671,C4282056,0.5031995509298124
9904,C4282056,0.5022556177550145
9672,C4282056,0.5011900791027074
9604,C4082774,0.5008980423069151
0093,C0690673,0.49943262494348434
3961,C0981742,0.4993387020646337
9904,C0978612,0.49846177669732844
966,C4082780,0.4984198252736167
966,C0712074,0.4976349167917584
3961,C1359886,0.49680834892579123
9904,C4281944,0.496638497631897
3961,C4082777,0.49589785719782037
966,C1169578,0.4957520319903964
9904,C4082777,0.4955693529829814
0093,C0693889,0.495418120344269
3893,C4282007,0.49466971682047667
966,C4282051,0.4941303292188935
8856,C0876711,0.4928091992861199
3722,C1814027,0.49270423185170586
0093,C0688877,0.49214607595122
3893,C0691212,0.49192953456578953
9604,C0938971,0.4913765675161744
9671,C4282061,0.4912132186489193
9671,C4282050,0.4903480581243266
9672,C1639201,0.4903367693607023
9672,C4082774,0.4891370975592217
3893,C0782173,0.4882331581946088
3961,C1814189,0.4881859200922719
966,C4282061,0.48796406649267177
9672,C0980955,0.4859935608981884
5059,C0690673,0.48565323620100126
9672,C4082777,0.48393727271355286
966,C0774583,0.4836036775640222
3722,C0716159,0.4823370289307823
966,C4082779,0.4796374712111259
3722,C0691137,0.479335716875364
9671,C4082777,0.47871649404019895
3893,C4082647,0.47753946984438883
3606,C0875551,0.4753828452500786
9671,C1169578,0.4751362693978561
9904,C1696556,0.4750858815303872
9904,C1359886,0.47496648603591973
9604,C4082780,0.4746886140991897
9671,C4282051,0.4746018639466194
966,C4048223,0.4738768793191671
3961,C2608111,0.4735010964126753
3893,C1814189,0.4727750770836784
3893,C0974988,0.4725695855323003
9904,C1169578,0.4719938863013019
966,C2343627,0.4706328819870668
3961,C4282051,0.47033413998189716
9604,C0712074,0.46697440040254323
3893,C0995060,0.4664615036347654
3895,C0939047,0.4655731195364512
9672,C4282050,0.46535865592149284
966,C4082774,0.4650135658042052
9904,C4282051,0.4646848887175267
3961,C4048223,0.4646833284785684
9671,C0980955,0.46448197157841264
9904,C4282050,0.4632788842464597
0040,C0876711,0.46128871264556637
9604,C0981517,0.46095169794483876
9604,C0774583,0.46047020800515154
0040,C0716159,0.4592224075542535
3975,C0689771,0.4585666032387776
9904,C0977796,0.4585596413765391
9672,C0782173,0.45823790128240427
3893,C0978624,0.4571247373404642
9672,C4048223,0.4567659071019883
5059,C0361697,0.45625406150267317
3893,C0772628,0.4554713584744244
9672,C4282051,0.4539256557378259
3893,C4282054,0.4525844414226728
3961,C0710781,0.4525651651881418
3893,C0994978,0.45254526410732154
966,C4282007,0.45213513358310525
9672,C4282054,0.45024035808871354
9672,C0712074,0.4495573382180794
8856,C0875551,0.44939577405269543
9672,C1169578,0.4485650886982587
5059,C0690859,0.4470117612868355
9904,C4082774,0.44640136810744
9904,C0980955,0.44604171404678356
0040,C1814027,0.44554292683273194
0014,C0876706,0.44500097487961454
3615,C0995060,0.4447019346035555
0093,C0359162,0.44415222283506434
3615,C3465049,0.4434598462630201
9904,C4082779,0.4431682138183941
9672,C0774583,0.4413857479519207
9920,C0716159,0.4412465934828365
966,C1359886,0.44023411525618666
3601,C0875551,0.4392729796086744
5059,C0715899,0.4392549604808178
9672,C4082743,0.43902350589016814
3961,C4281975,0.43687735805960537
966,C0772628,0.4366977559784216
966,C0973757,0.4364890132097477
3961,C0691137,0.4363288259858017
966,C0981517,0.4362370520617151
5569,C0595475,0.4347990252889747
9604,C1359886,0.43469887640859173
9904,C0981442,0.4342833861718732
3892,C0710688,0.43419913172406766
5569,C0716428,0.4338979462658258
3995,C4282054,0.43364439448327574
9671,C4281944,0.433453773771853
0066,C0716159,0.4324079242405676
3893,C4082743,0.4314937800337662
3723,C0691137,0.4314680718858384
9671,C4281975,0.4312239021864985
9983,C0776387,0.42986941254657474
3961,C4048933,0.4297658196230412
3961,C2920421,0.42962807577911466
9904,C4082638,0.4295293528895452
3893,C0978612,0.4295000372890904
9671,C4082772,0.42846533875676
9672,C0973757,0.4282380604197124
3995,C4082775,0.4275013531823369
3893,C0978252,0.4269239889421066
9904,C4282061,0.4268734845434182
3615,C0689881,0.42576721807109436
9604,C1639201,0.4257195910935766
9671,C0938971,0.42509899854118616
966,C4082638,0.42463433511455523
9904,C0140600,0.42407229509626
9604,C2343627,0.4239112819032439
9671,C0977439,0.4237649330753242
311,C0778320,0.42302617647883395
3615,C0795367,0.42172593528043845
3324,C1639201,0.42126843083407745
0093,C0976946,0.4210338418072327
9672,C4282061,0.42091568207432517
9604,C4282007,0.42060796236033343
3893,C0973757,0.4204402691298457
5059,C0976946,0.42021683615348826
3891,C4082772,0.41967631656765403
9604,C0977439,0.419599829449339
9604,C3888181,0.41932065627091836
5059,C0693889,0.4190008172296906
5569,C0875597,0.4189685865421245
9904,C4082772,0.41879037079234815
9671,C4048223,0.4185429840826546
5011,C0875717,0.4181934703199755
9671,C3888181,0.41797539331820155
9904,C4082746,0.41709349204671464
0093,C2722209,0.41660012586970685
9904,C0712925,0.41642242093239074
9672,C0981517,0.4161538899610901
966,C0938971,0.4150170542276497
3722,C0876711,0.4147470450503605
9671,C0712074,0.4147353482209007
9925,C0687813,0.41381406675634297
3723,C0716159,0.41336282179838274
9604,C4082638,0.41328463817060057
9671,C4082774,0.4132767690368414
5569,C0690859,0.4125795459874041
3893,C0711126,0.4117101771209034
9604,C0782173,0.4116054687975608
3995,C4083065,0.4114649457712606
966,C4082743,0.4107544306763264
966,C0140600,0.41064055837664093
4523,C2747675,0.40956865993048125
9671,C0981517,0.4087541533553604
9604,C0772628,0.40824395196078805
5059,C0706798,0.4082148758839097
3722,C0875551,0.40775823063937605
966,C3888181,0.4073662454443399
9672,C4048535,0.4073527574108687
3891,C4282056,0.40723208930698374
3891,C4082779,0.40647206121971385
966,C4282054,0.4058301513885684
9672,C4281975,0.4056964958362017
8856,C4281899,0.40500553408026224
9928,C4082748,0.40467259662861443
966,C1639201,0.404670508111808
966,C0994978,0.4046347955347213
3961,C0691212,0.40421638728856196
5059,C0361699,0.404185096893988
9672,C0977796,0.4032764941998416
9672,C3887765,0.40314884032231535
9671,C4282007,0.4030401280941254
3615,C0977056,0.40292234479281086
3893,C0689877,0.40270114298627513
9672,C0772628,0.4026581450995483
9604,C4281975,0.40202731686842713
9604,C0977796,0.40172050952264454
3893,C0975164,0.4013271482531269
0040,C0875551,0.4008927822845544
5011,C0939181,0.40085089971023136
3723,C0875551,0.40078707129504076
3897,C2947389,0.40060721363718077
3897,C0981359,0.40050810962872796
9904,C4281882,0.40024307332801956
9928,C3887769,0.39981156058482675
5491,C4083864,0.3997433249470695
3891,C4082777,0.39969785853386264
3995,C1169852,0.3993743376108826
9604,C4281882,0.39919513708917836
9671,C4082779,0.3988603718748874
9672,C4082778,0.3988322199876268
3891,C0782173,0.39829796304947657
3893,C0712925,0.3975817031629639
3895,C4083065,0.3965634546218032
9672,C0978624,0.39535938312556856
5011,C0875597,0.3953583404009717
966,C0977796,0.3946430112490015
9904,C0689881,0.394515599981515
3961,C1639501,0.3941738947386995
3893,C1696556,0.3939931596126447
0159,C4282341,0.39384368589626695
3615,C0981742,0.3927240068762216
3891,C4082774,0.3917642853743301
3891,C4082780,0.3916602072520095
3615,C0691137,0.3915889912996494
966,C0977439,0.3914096712395141
9920,C0691137,0.3913988663832847
3893,C3887765,0.3910908221591956
9915,C1877565,0.3909688670698695
9604,C0974988,0.3907993984913961
0159,C0688495,0.39050002057430144
5491,C1584819,0.3903854024420828
3891,C4281944,0.39024544339317874
3891,C0980955,0.38997189293976214
9604,C0978252,0.38992881362714266
3615,C4281944,0.3889853727221995
3891,C4282050,0.38822253795271666
9671,C4082780,0.38747479033875193
8856,C0977796,0.3868831760485141
9904,C2920421,0.3868329429599419
3615,C0981356,0.3864752066670604
9462,C0688559,0.3861579449424783
3995,C1967412,0.38571996275912757
9672,C0994978,0.38542091159457986
3895,C0706911,0.3853378331802672
966,C0782173,0.38423753278065376
966,C4281975,0.3836623475445743
9672,C1359886,0.38365508594949127
8856,C1359886,0.38336349510233747
9671,C0978252,0.38334574269144606
9604,C2920421,0.3833248302694163
9904,C0711126,0.3832227238782683
9671,C0774583,0.38320514140910317
3607,C0716159,0.3822873437035395
966,C0978624,0.3822099147889243
8856,C0995060,0.38212346265725733
9925,C0708306,0.3819936183919452
9390,C4082745,0.3818539443134347
3895,C4082775,0.3818267821974834
3893,C4281975,0.38181749027075584
9604,C0140600,0.38148690571200744
3893,C4048933,0.3808746875642012
3893,C4282000,0.3807061988211865
9671,C1359886,0.3806706499458667
3615,C2608111,0.37994114398632045
311,C4082778,0.3794301618329433
5059,C2722209,0.37918989936440944
3995,C2343627,0.3789604446850282
0045,C1814027,0.37860685617370504
9983,C0980885,0.3780772844930405
3324,C2343627,0.3778012430298307
9604,C4282054,0.3772190642252729
9672,C4082638,0.3769981454607233
9904,C0995060,0.3767844819931322
3324,C4048535,0.3764639166956489
9672,C4282007,0.3761234798052117
9904,C0977056,0.37552778386293884
9604,C0691212,0.37551004878345573
0014,C1329857,0.3751786913494874
3961,C0937759,0.3746237617918277
9671,C0974988,0.37452626238063713
3893,C1639201,0.3744689410252283
966,C2920421,0.37418450660735525
3961,C0687868,0.373984602419727
966,C3887765,0.3732356282814322
8856,C0711126,0.3731122100888732
3893,C0593736,0.3724388335319185
966,C0691212,0.37243662283210655
3891,C4048223,0.37220201692278054
3895,C4282054,0.37211594996918
3891,C2343627,0.37167807941704295
8872,C0977796,0.3716457902773474
966,C1814189,0.3714596917471322
3891,C4282051,0.3712849178055417
9671,C1814189,0.3712150834056414
9604,C1814189,0.370995024333822
9904,C4082780,0.37029904429730287
3995,C0706911,0.36986177374268436
966,C0974988,0.3696238785175405
9672,C0140600,0.36961417144044795
3893,C0689398,0.36876588526439863
9671,C4082638,0.36852463758699733
3324,C4082772,0.3679820833336553
3893,C2955100,0.3674793160191951
9671,C0691212,0.36736847707992065
3995,C4048535,0.36734587927593776
9604,C0978624,0.3657231105177717
9671,C4281882,0.3655977420047494
3995,C4082779,0.36526967952968553
3892,C0976032,0.36484843530061684
9672,C0938971,0.3644004235783228
3521,C0774481,0.3642183017661359
9904,C4048369,0.36400264026923046
9915,C4082745,0.3639977801428831
9671,C1639201,0.3637349237186293
3615,C0140600,0.36323658921777974
9604,C0973757,0.3630119940586608
9904,C4282054,0.36276699938632695
5569,C0708479,0.3625927665938641
4513,C1169578,0.3625173038591268
9955,C0776387,0.3624554663514187
3891,C4282061,0.3623263040795886
3324,C4082743,0.36162366452366157
5011,C0716428,0.36158790987442835
5011,C0361232,0.36154097389177964
9672,C0978252,0.361286630082005
966,C0978252,0.36124188121031764
9604,C0994978,0.360976896116324
9671,C0772628,0.36076104116621693
966,C1696556,0.3606697228964911
